Charger display ID,Location name,Location street address,Location parish,Geolocation,Number of sessions,Number of unique drivers,Charging time (min),Energy provided (kWh)
MP-025,Massy Warrens,Massy Warrens - Massy Stores Supercenter,St. Michael,"13.1418840472076,-59.6087500021415",167,42,7886.5,3618
MP-001,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",St James,"13.1850239447129,-59.6374305021412",5,3,89.19,11
MP-0079,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",St James,"13.1850239447129,-59.6374305021412",15,11,300.82,110.3
MP-025,Massy Warrens,Massy Warrens - Massy Stores Supercenter,St. Michael,"13.1418840472076,-59.6087500021415",144,45,6181.51,2642.5
MP-001,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",St James,"13.1850239447129,-59.6374305021412",1,1,0,0
MP-0079,Massy Sunset Crest,"Massy Stores Supercenter, Sunset Crest",St James,"13.1850239447129,-59.6374305021412",18,9,502.91,184.4
MP-022,Megapower Workshop,0 Wilcox Ridge,Christ Church,"13.0668347,-59.5270605",0,0,0,0
MP-007,BLPC Garrison,"Barbados Light And Power, Garrison Hill",St Thomas,"13.0813384907889,-59.6077824021418",6,3,165,60.5
MP-059,Millenium Heights 2,Complex-0 Millenium Heights,St. Thomas,"13.15199,-59.60893",9,2,1740,214.6
MP-063,Port St Charles (Pier One Restaurant),Port St Charles-0 Heywoods,St. Peter,"13.264145,-59.644266",24,7,3924.32,484
MP-058,One Welches Ltd,Carport-1 Welches,St. Thomas,"13.155162,-59.613737",28,3,2826.24,348.7
MP-051,Barbados Golf Club,Barbados Golf Club -0 Durants,Christ Church,"13.0729306,-59.5267344",30,8,0,0
MP-014,One Haggatt Hall,One Haggatt Hall Complex-0 Two Mile Hill,St. Michael,"13.1053216,-59.5822663",8,2,1569.73,193.6
MP-024,The Walk,"The Walk, Welches, St Thomas",St Thomas,"13.155103143456,-59.6113313021413",4,4,300.1,129.2
MP-010,City Center Mall and Carpark,0 Chapel Street,St. Michael,"13.098217704116,-59.6175783039002",18,8,2353.78,290.3
MP-70,Megapower Office ,Edghill Building-4 Wildey Business Park,St. Michael,"13.093006,-59.586553",0,0,0,0
MP-006,The Condominiums at Palm Beach,"The Condominiums at Palm Beach, Palm Beach Corporate Centre, Lower Ground Floor",Christ Church ,"13.0758939907924,-59.6029012733064",4,1,1195.14,147.4
MP-050,Cotton Bay (Freights Bay),Freights Bay Surfers Access-00 Enterprise Coast Road,Christ Church,"13.05355,-59.53499",12,7,1731.89,213.6
MP-065,Cedar Court,Cedar Court Offices - CarPort-1 Wildey Business Park,St. Michael,"13.09375,-59.585849",71,10,7371.89,909.2
MP-003,Speightstown Esplanade,Speightstown Esplanade,St. Peter,"13.2508718611134,-59.6442456867991",14,4,2072.43,255.6
MP-020,The Walk,"The Walk, Welches, St Thomas",St Thomas,"13.155103143456,-59.6113313021413",0,0,0,0
MP-004,Millennium Heights,N/A-N/A Welches,St. Thomas,"13.150460382201004,-59.61058751275202",22,5,4400.27,542.7
MP-061,Sheraton Center Barbados,Sheraton Center,Christ Church,"13.0828117900741,-59.5666073309772",81,25,11312.35,1395.2
MP-073,Melbourne Inn,"Apartment Block-4th Ave, Dover",Christ Church,"13.0660298,-59.5649616",25,5,1209.27,443.4
MP-40,Barbados Yacht Club,Next to Tennis Court-1 Bay Street,St. Michael,"13.083583,-59.608611",29,8,3487.3,430.1
MP-075,Megapower Office ,Edghill Building-4 Wildey Business Park,St. Michael,"13.093006,-59.586553",60,6,2218.36,813.4
MP-015,Sky Mall,Sky Mall-0 Errol Barrow Highway,St. Michael,"13.105389,-59.579667",49,21,4251.08,524.3
MP-055,The Walk,"The Walk, Welches, St Thomas",St Thomas,"13.155103143456,-59.6113313021413",28,14,2220.81,273.9
MP-021,Limegrove,Limegrove Lifestyle Center Carpark,St. James,"13.1865238988325,-59.6359529309767",37,13,314.55,524.3
MP-080,The Mill Barbados (Millhouse),The Mill Complex-3 Canewood Industrial Park,St. Thomas,"13.147281,-59.593348",16,3,718.91,263.6
MP-082,One Welches Ltd,Carport-1 Welches,St. Thomas,"13.155162,-59.613737",22,2,44.73,16.4
MP-054,One Barbados Warrens,One Barbados Place-1 Warrens Close,St. Michael,"13.140969,-59.60947",83,15,8156.76,1006
MP-076,Millennium Heights,N/A-N/A Welches,St. Thomas,"13.150460382201004,-59.61058751275202",13,3,420.27,154.1
MP-Sunlink,SunLink,1-Thyme Bottom 1 Pimgrim Place,Christ Church,"13.074599,-59.512074",0,0,0,0
MP-005,Coverley - Food Court,Coverley,Christ Church,"13.0845981581339,-59.5015983027884",31,8,90,11.1
MP-081,Barbados Light & Power - Spring Garden Car PArk,Spring Garden-01 Substation Road,St. Michael,"13.125772222570074,-59.63226024746143",1,1,112.09,41.1
MP-052,The Crane Resort,The Crane Resort-0 Crane Road,St. Philip,"13.10597,-59.44521",2,2,60.55,22.2
MP-002,Limegrove,Limegrove Lifestyle Center Carpark,St. James,"13.1865238988325,-59.6359529309767",90,31,4607.73,1689.5
MP-013,Six Roads -Emerald City,Emerald City Supermerket Carpark-0 Highway 65,St. Philip,"13.1165433,-59.4761632",28,11,1548.65,191
MP-022,Megapower Workshop,0 Wilcox Ridge,Christ Church,"13.0668347,-59.5270605",0,0,0,0
MP-007,BLPC Garrison,"Barbados Light And Power, Garrison Hill",St Thomas,"13.0813384907889,-59.6077824021418",8,4,156.82,57.5
MP-023,W Mall Welches St.Thomas ,Courts -1 W Mall,St. Thomas,"13.15586,-59.6141",45,25,2306.16,960.9
MP-059,Millenium Heights 2,Complex-0 Millenium Heights,St. Thomas,"13.15199,-59.60893",17,4,2704.05,333.5
MP-063,Port St Charles (Pier One Restaurant),Port St Charles-0 Heywoods,St. Peter,"13.264145,-59.644266",44,10,8351.35,1030
MP-058,One Welches Ltd,Carport-1 Welches,St. Thomas,"13.155162,-59.613737",25,6,2297.84,283.4
MP-021,Limegrove,Limegrove Lifestyle Center Carpark,St. James,"13.1865238988325,-59.6359529309767",0,0,0,0
MP-051,Barbados Golf Club,Barbados Golf Club -0 Durants,Christ Church,"13.0729306,-59.5267344",13,4,1686.49,208
MP-054,W Mall Welches St.Thomas ,Courts -1 W Mall,St. Thomas,"13.15586,-59.6141",17,10,496.36,182
MP-074,One Barbados Warrens,One Barbados Place-1 Warrens Close,St. Michael,"13.140969,-59.60947",42,13,2029.64,744.2
MP-014,One Haggatt Hall,One Haggatt Hall Complex-0 Two Mile Hill,St. Michael,"13.1053216,-59.5822663",9,2,1557.57,192.1
MP-024,The Walk,"The Walk, Welches, St Thomas",St Thomas,"13.155103143456,-59.6113313021413",140,53,8573.56,3684
MP-010,City Center Mall and Carpark,0 Chapel Street,St. Michael,"13.098217704116,-59.6175783039002",24,11,2777.03,342.5
MP-006,The Condominiums at Palm Beach,"The Condominiums at Palm Beach, Palm Beach Corporate Centre, Lower Ground Floor",Christ Church ,"13.0758939907924,-59.6029012733064",12,3,1932.16,238.3
MP-050,Cotton Bay (Freights Bay),Freights Bay Surfers Access-00 Enterprise Coast Road,Christ Church,"13.05355,-59.53499",14,7,2803.78,345.8
MP-003,Speightstown Esplanade,Speightstown Esplanade,St. Peter,"13.2508718611134,-59.6442456867991",6,1,1546.22,190.7
MP-065,Santosha East Coat,"Ermy Bourne Highway, Belleplaine-southroad Windey Hill",St Andrew,"13.246398,-59.551534",8,2,250.54,30.9
MP-020,The Walk,"The Walk, Welches, St Thomas",St Thomas,"13.155103143456,-59.6113313021413",0,0,0,0
MP-061,Sheraton Center Barbados,Sheraton Center,Christ Church,"13.0828117900741,-59.5666073309772",72,29,10463.51,1290.5
MP-004,Millennium Heights,N/A-N/A Welches,St. Thomas,"13.150460382201004,-59.61058751275202",0,0,0,0
MP-1000,Melbourne Inn,"Apartment Block-4th Ave, Dover",Christ Church,"13.0660298,-59.5649616",12,7,1413,518.1
MP-40,Barbados Yacht Club,Next to Tennis Court-1 Bay Street,St. Michael,"13.083583,-59.608611",31,10,4549.46,561.1
MP-075,Megapower Office ,Edghill Building-4 Wildey Business Park,St. Michael,"13.093006,-59.586553",0,0,0,0
MP-015,Sky Mall,Sky Mall-0 Errol Barrow Highway,St. Michael,"13.105389,-59.579667",44,15,4075.14,502.6
MP-055,The Walk,"The Walk, Welches, St Thomas",St Thomas,"13.155103143456,-59.6113313021413",40,17,3517.3,433.8
MP-080,The Mill Barbados (Millhouse),The Mill Complex-3 Canewood Industrial Park,St. Thomas,"13.147281,-59.593348",14,5,216.55,79.4
MP-082,One Welches Ltd,Carport-1 Welches,St. Thomas,"13.155162,-59.613737",12,5,675.27,247.6
MP-1001,Megapower Lower Estate,Orange Building -1 Megapower Lower Estate,St. Michael,"13.133618,-59.580635",21,5,1979.69,244.3
MP-076,Millennium Heights,N/A-N/A Welches,St. Thomas,"13.150460382201004,-59.61058751275202",8,3,542.45,198.9
MP-Sunlink,SunLink,1-Thyme Bottom 1 Pimgrim Place,Christ Church,"13.074599,-59.512074",0,0,0,0
MP-005,Coverley - Food Court,Coverley,Christ Church,"13.0845981581339,-59.5015983027884",58,14,4398.65,542.5
MP-073,W Mall Welches St.Thomas ,Courts -1 W Mall,St. Thomas,"13.15586,-59.6141",21,8,476.45,174.7
MP-081,Barbados Light & Power - Spring Garden Car PArk,Spring Garden-01 Substation Road,St. Michael,"13.125772222570074,-59.63226024746143",6,3,546,200.2
